,importance
criq,0.17618569043494967
denomdescr,0.17353034153427757
reyword,0.13057364081690317
semantic,0.11075383114428064
trog,0.09505364676667748
reyfig,0.0868125792600594
span_for,0.08611088768170942
phonemic,0.05261569882182256
span_back,0.052115586023846396
mmse,0.036248097515473754
